repo,Stars,URL,Scorecard Score,Detailed Score,CVE Count,Average CVE Score,CVE Links,GitHub Commit (2024-09-01),CVE GitHub References,Commit / code contribution volume issues,Code submission frequency / update frequency issues,Meta Data-Other,Low test coverage / insufficient test suite capability,Test-Other,High developer concentration,Few new developers,Severe developer attrition,Developer-Other,High total vulnerability count (can directly refer to the repo’s security items),Takes a long time to resolve or close an issue / high labor cost,Too Many Open Issues,Issue-Other
repo:argoproj/argo-helm,2085,https://github.com/argoproj/argo-helm,9.6,"{'Binary-Artifacts': 10.0, 'CI-Tests': 4.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 10.0, 'Security-Policy': 10.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 9.0}",1,8.3,https://www.cve.org/CVERecord?id=CVE-2024-52799,https://github.com/argoproj/argo-helm/tree/e709ba3b5a643f18bb435b00b9b4aab5e985b52b,https://github.com/argoproj/argo-helm/security/advisories/GHSA-fgrf-2886-4q7m; https://github.com/argoproj/argo-helm/commit/81dc44c4a5ccd42c799469a78eb96a68048a4987,,,,,,1,1,1,,,,,
repo:codeigniter4/codeigniter4,5730,https://github.com/codeigniter4/CodeIgniter4,9.5,"{'Binary-Artifacts': 10.0, 'CI-Tests': 10.0, 'Code-Review': 10.0, 'License': 10.0, 'Security-Policy': 10.0, 'Vulnerabilities': 8.0}",1,9.8,https://www.cve.org/CVERecord?id=CVE-2025-54418,https://github.com/codeigniter4/CodeIgniter4/tree/a9925c740e180c96c25bac5fbb4ec90005eacc76,https://github.com/codeigniter4/CodeIgniter4/security/advisories/GHSA-9952-gv64-x94c; https://github.com/codeigniter4/CodeIgniter4/commit/e18120bff1da691e1d15ffc1bf553ae7411762c0,,,,,,1,1,1,,1,,,
repo:sylius/sylius,8307,https://github.com/Sylius/Sylius,9.2,"{'Binary-Artifacts': 10.0, 'CI-Tests': 5.0, 'Code-Review': 10.0, 'License': 10.0, 'Security-Policy': 9.0, 'Vulnerabilities': 9.0}",1,7.5,https://www.cve.org/CVERecord?id=CVE-2024-57610,https://github.com/Sylius/Sylius/tree/77ca7f4afe98957909f7bc99dc8bd7087d095add,https://github.com/Sylius/Sylius; https://github.com/nca785/CVE-2024-57610,,,,,,,,1,,1,1,1,
repo:powsybl/powsybl-core,143,https://github.com/powsybl/powsybl-core,8.9,"{'Binary-Artifacts': 10.0, 'CI-Tests': 1.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 10.0, 'Security-Policy': 10.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 5.0}",1,8.1,https://www.cve.org/CVERecord?id=CVE-2025-47771,https://github.com/powsybl/powsybl-core/tree/503ef2defde6283f0d7f44fe4646dc522e5b0726,https://github.com/powsybl/powsybl-core/security/advisories/GHSA-f5cx-h789-j959; https://github.com/powsybl/powsybl-core/commit/8ed16ce41683c4aef5f6aa1dd5ae8642aa5ed2bd; https://github.com/powsybl/powsybl-core/releases/tag/v6.7.2,,,,,,,,,,,1,,
repo:pimcore/pimcore,3638,https://github.com/pimcore/pimcore,8.8,"{'Binary-Artifacts': 10.0, 'CI-Tests': 5.0, 'Code-Review': 8.0, 'License': 9.0, 'Security-Policy': 10.0, 'Vulnerabilities': 9.0}",1,8.7,https://www.cve.org/CVERecord?id=CVE-2024-49370,https://github.com/pimcore/pimcore/tree/057aa1c48c58d9451587db89448cba92a5f41a05,https://github.com/pimcore/pimcore/security/advisories/GHSA-74p5-77rq-gfqc,,,,1,,,,,,1,,,Many bugs have a “PR welcome” label; it feels like the maintainers are already overloaded
repo:open-quantum-safe/liboqs,2510,https://github.com/open-quantum-safe/liboqs,8.6,"{'Binary-Artifacts': 10.0, 'CI-Tests': 2.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 9.0, 'Pinned-Dependencies': 8.0, 'Security-Policy': 10.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 4.0}",1,7.4,https://www.cve.org/CVERecord?id=CVE-2024-54137,https://github.com/open-quantum-safe/liboqs/tree/6d92fc4a6ed82895a8ebd47111d1e0169c424f5d,https://github.com/open-quantum-safe/liboqs/security/advisories/GHSA-gpf4-vrrw-r8v7; https://github.com/open-quantum-safe/liboqs/commit/cce1bfde4e52c524b087b9687020d283fbde0f24,,1,Sometimes there is only one commit per week; the community lacks vitality,,,1,1,1,,,,1,Security issues caused by dependency libraries
repo:nixos/nix,15158,https://github.com/NixOS/nix,8.5,"{'Binary-Artifacts': 10.0, 'CI-Tests': 9.0, 'Code-Review': 9.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 9.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 8.0}",2,8.5,https://www.cve.org/CVERecord?id=CVE-2024-45593; https://www.cve.org/CVERecord?id=CVE-2025-53819,https://github.com/NixOS/nix/tree/9cc550d65252d3ad822cc12496ef71482c47ff7e,https://github.com/NixOS/nix/security/advisories/GHSA-h4vv-h3jq-v493; https://github.com/NixOS/nix/commit/eb11c1499876cd4c9c188cbda5b1003b36ce2e59; https://github.com/NixOS/nix/security/advisories/GHSA-qc7j-jgf3-qmhg; https://github.com/NixOS/nix/pull/13281; https://github.com/NixOS/nix/pull/13455; https://github.com/NixOS/nix/commit/e2ef2cfcbc83ea01308ee64c38a58707ab23dec3,,,,1,"Most vulnerabilities are related to privilege escalation/unauthorized access, which to some extent indicates the test suite does not cover the relevant behavior",,1,,,,,1,
repo:automattic/mongoose,27365,https://github.com/Automattic/mongoose,8.5,"{'Binary-Artifacts': 10.0, 'CI-Tests': 10.0, 'Code-Review': 7.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 3.0, 'Security-Policy': 9.0, 'Token-Permissions': 9.0, 'Vulnerabilities': 8.0}",2,9.05,https://www.cve.org/CVERecord?id=CVE-2024-53900; https://www.cve.org/CVERecord?id=CVE-2025-23061,https://github.com/Automattic/mongoose/tree/40623bbec0aec1a622b562af9a731fe5f1306c75,https://github.com/Automattic/mongoose/releases; https://github.com/Automattic/mongoose/blob/master/CHANGELOG.md; https://github.com/Automattic/mongoose/commit/c9e86bff7eef477da75a29af62a06d41a835a156; https://github.com/advisories/GHSA-m7xq-9374-9rvx; https://github.com/Automattic/mongoose/blob/master/CHANGELOG.md; https://github.com/Automattic/mongoose/releases/tag/8.9.5; https://github.com/Automattic/mongoose/commit/64a9f9706f2428c49e0cfb8e223065acc645f7bc,,,,,,1,1,1,,,,,No security.md
repo:ratify-project/ratify,279,https://github.com/ratify-project/ratify,8.5,"{'Binary-Artifacts': 10.0, 'CI-Tests': 8.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 10.0, 'Security-Policy': 10.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 0.0}",1,7.2,https://www.cve.org/CVERecord?id=CVE-2025-27403,https://github.com/notaryproject/ratify/tree/b2e5bfa64bcde5f28e38fda8df2d18c05a13a28b,https://github.com/ratify-project/ratify/security/advisories/GHSA-44f7-5fj5-h4px; https://github.com/ratify-project/ratify/commit/0ec0c08490e3d672ae64b1a220c90d5484f1c93f; https://github.com/ratify-project/ratify/commit/84c7c48fa76bb9a1c9583635d1e90bc25b1a546c,,,,,,3,,1,,,,,There have been no new issues in the project for several months
repo:firebase/php-jwt,9697,https://github.com/firebase/php-jwt,8.5,"{'Binary-Artifacts': 10.0, 'CI-Tests': 0.0, 'Code-Review': 8.0, 'License': 10.0, 'Security-Policy': 10.0, 'Vulnerabilities': 9.0}",1,7.3,https://www.cve.org/CVERecord?id=CVE-2025-45769,https://github.com/firebase/php-jwt/tree/76808fa227f3811aa5cdb3bf81233714b799a5b5,https://github.com/firebase/php-jwt; https://github.com/firebase; https://gist.github.com/ZupeiNie/83756316c4c24fe97a50176a92608db3,1,1,Fewer than 10 commits per year,1,The test scripts are very limited,,,,,,1,,Secret key length does not meet the standard. This kind of error should have been detected by methods such as asset checking
repo:academysoftwarefoundation/openexr,1728,https://github.com/AcademySoftwareFoundation/openexr,8.4,"{'Binary-Artifacts': 10.0, 'CI-Tests': 0.0, 'Code-Review': 7.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 9.0, 'Security-Policy': 10.0, 'Token-Permissions': 9.0, 'Vulnerabilities': 6.0}",1,8.4,https://www.cve.org/CVERecord?id=CVE-2025-48071,https://github.com/AcademySoftwareFoundation/openexr/tree/84d7d52e17a17e18d138d9d1aa9f4e2de2fcb2d6,https://github.com/AcademySoftwareFoundation/openexr/security/advisories/GHSA-h45x-qhg2-q375; https://github.com/AcademySoftwareFoundation/openexr/commit/916cc729e24aa16b86d82813f6e136340ab2876f; https://github.com/AcademySoftwareFoundation/openexr/releases/tag/v3.3.3,1,,Sometimes there are several commits in a month; the community lacks vitality,,,2,,1,The remaining two key developers look to be in their 40s based on their avatars,1,,1,
repo:mlflow/mlflow,22285,https://github.com/mlflow/mlflow,8.3,"{'Binary-Artifacts': 10.0, 'CI-Tests': 10.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Security-Policy': 10.0, 'Token-Permissions': 9.0, 'Vulnerabilities': 0.0}",2,7.25,https://www.cve.org/CVERecord?id=CVE-2024-8859; https://www.cve.org/CVERecord?id=CVE-2024-27134,https://github.com/mlflow/mlflow/tree/f810d03ec4188c06c61219650b97e64df7748aa1,https://github.com/mlflow/mlflow/commit/7791b8cdd595f21b5f179c7b17e4b5eb5cbbe654; https://github.com/mlflow/mlflow/pull/10874,,,,1,The test scripts have limited parameter-checking capability; this CVE was reported externally,,,,,,,1,security.md is poorly maintained; there are many unresolved open issues
repo:pluxml/pluxml,228,https://github.com/pluxml/PluXml,8.3,"{'Binary-Artifacts': 10.0, 'CI-Tests': 0.0, 'Code-Review': 6.0, 'License': 10.0, 'Security-Policy': 10.0, 'Vulnerabilities': 10.0}",1,9.8,https://www.cve.org/CVERecord?id=CVE-2024-48138,https://github.com/pluxml/PluXml/tree/d2653945046b0f75b4660ab30d4234c81b46c494,https://github.com/pluxml/PluXml/issues/829,,,,1,This CVE was reported externally,1,1,1,Key developers look older based on their avatars,,,,security.md is poorly maintained
repo:argoproj/argo-cd,20788,https://github.com/argoproj/argo-cd,8.3,"{'Binary-Artifacts': 10.0, 'CI-Tests': 9.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 7.0, 'Security-Policy': 10.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 0.0}",1,9.1,https://www.cve.org/CVERecord?id=CVE-2025-47933,https://github.com/argoproj/argo-cd/tree/aa14f76d38e5327e65b729a39a634463b2dce5d3,https://github.com/argoproj/argo-cd/security/advisories/GHSA-2hj5-g64g-fp6p; https://github.com/argoproj/argo-cd/commit/a5b4041a79c54bc7b3d090805d070bcdb9a9e4d1,,,,1,"URL scheme/protocol input is not filtered, reflecting limited test-script capability",,,1,,1,,,
repo:kubernetes-sigs/headlamp,4513,https://github.com/kubernetes-sigs/headlamp,8.3,"{'Binary-Artifacts': 10.0, 'CI-Tests': 10.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 7.0, 'Security-Policy': 9.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 0.0}",1,7.8,https://www.cve.org/CVERecord?id=CVE-2025-53542,https://github.com/kubernetes-sigs/headlamp/tree/ba83d0f1cf15fe407c1f9ae91377160d9053b5e4,https://github.com/kubernetes-sigs/headlamp/security/advisories/GHSA-34rf-485x-g5h7; https://github.com/kubernetes-sigs/headlamp/pull/3377; https://github.com/kubernetes-sigs/headlamp/commit/5bc0a9dd87acdf1e04be14619acde687eefa35fb,,,,,,,,,,,1,1,Improper use of functions in the third-party library Node.js caused this CVE
repo:fleetdm/fleet,5577,https://github.com/fleetdm/fleet,8.2,"{'Binary-Artifacts': 9.0, 'CI-Tests': 9.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 9.0, 'Pinned-Dependencies': 8.0, 'Security-Policy': 10.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 0.0}",1,9.3,https://www.cve.org/CVERecord?id=CVE-2025-27509,https://github.com/fleetdm/fleet/tree/ebf1a2d8f5a5d91414435b9800709c22da8a04ec,https://github.com/fleetdm/fleet/security/advisories/GHSA-52jx-g6m5-h735; https://github.com/fleetdm/fleet/commit/718c95e47ad010ad6b8ceb3f3460e921fbfc53bb,,,,1,The test scripts are very limited; this CVE was reported externally,,,,,,,,
repo:symfony/symfony,30607,https://github.com/symfony/symfony,8.1,"{'Binary-Artifacts': 9.0, 'CI-Tests': 10.0, 'Code-Review': 3.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 1.0, 'Security-Policy': 10.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 10.0}",3,7.43,https://www.cve.org/CVERecord?id=CVE-2024-51996; https://www.cve.org/CVERecord?id=CVE-2024-50340; https://www.cve.org/CVERecord?id=CVE-2024-36611,https://github.com/symfony/symfony/tree/f72d8d77455ccc691a9dffe9f7650e21793cf115,https://github.com/symfony/symfony/security/advisories/GHSA-cg23-qf8f-62rr; https://github.com/symfony/symfony/commit/81354d392c5f0b7a52bcbd729d6f82501e94135a; https://github.com/symfony/symfony/security/advisories/GHSA-x8vp-gf4q-mw5j; https://github.com/symfony/symfony/commit/a77b308c3f179ed7c8a8bc295f82b2d6ee3493fa; https://github.com/symfony/symfony/commit/a804ca15fcad279d7727b91d12a667fd5b925995; https://github.com/symfony/symfony/blob/v7.0.7/src/Symfony/Component/Security/Http/Authenticator/FormLoginAuthenticator.php#L132; https://gist.github.com/1047524396/3581425e0911b716cf8ce4fa30e41e6c; https://github.com/github/advisory-database/pull/5046; https://github.com/symfony/symfony/issues/59077#issuecomment-2513935018,,,,1,The test scripts are very limited; this CVE was reported externally,1,1,,Key developers look older based on their avatars; insufficient code review and dependency pinning,1,1,,"Several high-severity CVEs are related to unauthorized access in function implementations, reflecting insufficient testing capability"
repo:libsndfile/libsndfile,1616,https://github.com/libsndfile/libsndfile,8.1,"{'Binary-Artifacts': 10.0, 'CI-Tests': 0.0, 'Code-Review': 5.0, 'License': 10.0, 'Security-Policy': 10.0, 'Vulnerabilities': 10.0}",1,7.5,https://www.cve.org/CVERecord?id=CVE-2025-52194,https://github.com/libsndfile/libsndfile/tree/58c05b87162264200b1aa7790be260fd74c9deee,https://github.com/libsndfile/libsndfile/issues/1082; https://github.com/libsndfile,1,1,"Sometimes there are several commits in a month; there have been almost no updates after 2023, and the community lacks vitality",1,The test scripts are very limited; this CVE was reported externally,1,1,1,Insufficient code review and dependency pinning,,,1,security.md is poorly maintained
repo:libexpat/libexpat,1246,https://github.com/libexpat/libexpat,8.1,"{'Binary-Artifacts': 10.0, 'CI-Tests': 1.0, 'Code-Review': 4.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 10.0, 'Security-Policy': 10.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 5.0}",1,7.5,https://www.cve.org/CVERecord?id=CVE-2024-8176,https://github.com/libexpat/libexpat/tree/234654c58b3833b881b5a32fc8b57b09d39ecd81,https://github.com/libexpat/libexpat/issues/893,,,,,,1,1,1,,,,,security.md is poorly maintained
repo:tensorflow/serving,6326,https://github.com/tensorflow/serving,8.1,"{'Binary-Artifacts': 10.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 0.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 10.0}",1,8.9,https://www.cve.org/CVERecord?id=CVE-2025-0649,https://github.com/tensorflow/serving/tree/d7c14e62e53b561f821cffbbd52bfdc74efbe629,https://github.com/tensorflow/serving/commit/6cb013167d13f2ed3930aabb86dbc2c8c53f5adf,,,,1,The test scripts are very limited; this CVE was reported externally,1,,,There is only one corporate developer and basically no other contributors,,,1,No security.md; the community basically no longer handles issues
repo:browserify/sha.js,295,https://github.com/browserify/sha.js,8,"{'Binary-Artifacts': 10.0, 'CI-Tests': 0.0, 'Code-Review': 5.0, 'License': 9.0, 'Security-Policy': 10.0, 'Vulnerabilities': 10.0}",1,9.1,https://www.cve.org/CVERecord?id=CVE-2025-9288,https://github.com/browserify/sha.js/tree/8938256dbb2241a7c749e4a399dbaff48cbe8e95,https://github.com/browserify/sha.js/security/advisories/GHSA-95m3-7q98-8xr5; https://github.com/browserify/sha.js/pull/78,,1,After 2018 the main code basically stopped being updated,1,The test scripts are very limited; the CVE is due to insufficient type checking,1,,,,,,,
repo:gramineproject/gramine,711,https://github.com/gramineproject/gramine,7.9,"{'Binary-Artifacts': 10.0, 'CI-Tests': 0.0, 'Code-Review': 10.0, 'License': 10.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 9.0, 'Vulnerabilities': 10.0}",1,7.5,https://www.cve.org/CVERecord?id=CVE-2024-25371,https://github.com/gramineproject/gramine/tree/ca534cea27bff7a13e2127c8db0b77e676f6b7de,https://github.com/gramineproject/gramine/commit/a390e33e16ed374a40de2344562a937f289be2e1; https://github.com/ahoi-attacks/sigy/blob/main/pocs/gramine/cve.md,,1,,1,The test scripts are very limited; this CVE was reported externally,1,,1,,,,,
repo:zoneminder/zoneminder,5623,https://github.com/ZoneMinder/zoneminder,7.9,"{'Binary-Artifacts': 10.0, 'CI-Tests': 10.0, 'Code-Review': 2.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 10.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 9.0}",1,10,https://www.cve.org/CVERecord?id=CVE-2024-51482,https://github.com/ZoneMinder/zoneminder/tree/5bf2432b2f84c7ebe34380098e54953e68cf72a6,https://github.com/ZoneMinder/zoneminder/security/advisories/GHSA-qm8h-3xvf-m7j3; https://github.com/ZoneMinder/zoneminder/commit/9e7d31841ed9678a7dd06869037686fc9925e59f,,,,1,The test scripts are very limited; this CVE was reported externally,1,1,1,,1,,1,
repo:theupdateframework/go-tuf,675,https://github.com/theupdateframework/go-tuf,7.9,"{'Binary-Artifacts': 10.0, 'CI-Tests': 0.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 10.0, 'Security-Policy': 10.0, 'Token-Permissions': 0.0, 'Vulnerabilities': 8.0}",1,8.2,https://www.cve.org/CVERecord?id=CVE-2024-47534,https://github.com/theupdateframework/go-tuf/tree/f95222bdd22d2ac4e5b8ed6fe912b645e213c3b5,https://github.com/theupdateframework/go-tuf/security/advisories/GHSA-4f8r-qqr9-fq8j; https://github.com/theupdateframework/tuf-conformance/pull/115; https://github.com/theupdateframework/go-tuf/commit/edc30b474f5afd4cc603e17149704d5aa605151d; https://github.com/theupdateframework/go-tuf/commit/f36420caba9edbfdfd64f95a9554c0836d9cf819; https://github.com/theupdateframework/go-tuf/blob/f95222bdd22d2ac4e5b8ed6fe912b645e213c3b5/metadata/metadata.go#L565-L580,,1,Sometimes there are several commits in a month; the community lacks vitality,1,No test scripts; a logic/implementation error caused the CVE vulnerability,1,,1,,,,,
repo:harfbuzz/harfbuzz,5026,https://github.com/harfbuzz/harfbuzz,7.9,"{'Binary-Artifacts': 10.0, 'CI-Tests': 5.0, 'Code-Review': 4.0, 'Dangerous-Workflow': 10.0, 'License': 9.0, 'Pinned-Dependencies': 8.0, 'Security-Policy': 10.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 4.0}",1,9.3,https://www.cve.org/CVERecord?id=CVE-2024-56732,https://github.com/harfbuzz/harfbuzz/tree/a141e25c423648fcda7f19faae7d3dd4eb7eae95,https://github.com/harfbuzz/harfbuzz/security/advisories/GHSA-qmp9-xqm5-jh6m; https://github.com/harfbuzz/harfbuzz/commit/1767f99e2e2196c3fcae27db6d8b60098d3f6d26,,,,1,,1,,,,,,,Lack of input type checking caused this CVE
